Hostname;CI;Location;Model;Status;Mac1;Mac2;Users
KBAM00537;2021060096;A.UG2.011;Latitude 5520;Active;c0:25:a5:10:5f:6e;a4:42:3b:39:60:84;"kbambd, 06.06.2023 17:05:07
kbaace, 06.06.2023 15:20:12
kbalts, 01.06.2023 14:35:13
kbawae, 20.07.2023 15:27:19"
KBAM00537;2021060096;A.UG2.011;Latitude 5520;Active;c0:25:a5:10:5f:6e;a4:42:3b:39:60:84;"kbambd, 06.06.2023 17:05:07
kbaace, 06.06.2023 15:20:12
kbalts, 01.06.2023 14:35:13
kbawae, 20.07.2023 15:27:19"
KBAM00537;2021060096;A.UG2.011;Latitude 5520;Active;c0:25:a5:10:5f:6e;a4:42:3b:39:60:84;"kbambd, 06.06.2023 17:05:07
kbaace, 06.06.2023 15:20:12
kbalts, 01.06.2023 14:35:13
kbawae, 20.07.2023 15:27:19"
KBAM00674;2023010065;A.UG1.022;Latitude 5530;Active;C4:CB:E1:11:91:4C;a0:59:50:49:fa:93;"kbavam, 27.04.2023 12:17:15
kbadla, 30.05.2023 11:02:59
kbapcn, 08.06.2023 10:44:47
kbaace, 24.04.2023 14:54:35
kbaphysio, 30.06.2023 10:28:40
kbahhp, 20.04.2023 17:23:40
kbahsp, 28.04.2023 17:33:31"
KBAW00267;2017030003;A.UG2.016;Optiplex 7040 MFF;Active;18:66:da:46:5e:61;f0:d5:bf:dc:53:cf;"kbatso, 07.06.2023 14:59:12
kbalts, 13.06.2023 11:28:26"
KBAW00344;2019040453;A.UG2.016;Optiplex 7060 MFF;Active;e4:b9:7a:e6:ab:48;0c:96:e6:62:13:27;kbaace, 19.07.2023 12:38:55
KBAW00345;2019040454;72;Optiplex 7060 MFF;Active;b8:85:84:c5:91:76;0c:96:e6:62:3f:11;"kbadla, 18.07.2023 16:30:07
kbadbe, 24.05.2023 11:22:18
kbaace, 03.05.2023 11:43:19
kbasir, 19.07.2023 10:16:58
kbansc, 06.06.2023 15:30:07
kbamvl, 21.06.2023 12:03:56"
KBAW00373;2021070068;B.UG2.012;Optiplex 7070 MFF;Staging;a4:bb:6d:6b:53:8c;8c:c8:4b:54:a9:6f;"kbaljo, 14.09.2022 06:41:38
kbalts, 17.11.2022 13:24:53"
KBAW00414;2022030318;A.UG2.016;OptiPlex 7090 MFF;Active;A4:BB:6D:95:11:2A;2C:6D:C1:BD:D4:D6;"kbambd, 24.07.2023 18:05:29
kbalts, 08.06.2023 15:15:51"
KBAW00414;2022030318;A.UG2.016;OptiPlex 7090 MFF;Active;A4:BB:6D:95:11:2A;2C:6D:C1:BD:D4:D6;"kbambd, 24.07.2023 18:05:29
kbalts, 08.06.2023 15:15:51"
